Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,location,City,Base_Model,DemandScore
alto k10,2014,2.55,3.98,46706,Petrol,Dealer,Manual,0,Pune,Kolkata,alto k10,42
sx4,2008,1.95,7.15,58000,Petrol,Dealer,Manual,0,Hyderabad,Chennai,sx4,66
dzire,2014,5.5,8.06,45780,Diesel,Dealer,Manual,0,Lucknow,Pune,dzire,73
omni,2012,1.25,2.69,50000,Petrol,Dealer,Manual,0,Bangalore,Mumbai,omni,78
ciaz,2014,7.5,12.04,15000,Petrol,Dealer,Automatic,0,Kolkata,Pune,ciaz,95
ritz,2013,2.65,4.89,64532,Petrol,Dealer,Manual,0,Hyderabad,Ahmedabad,ritz,34
wagon r,2006,1.05,4.15,65000,Petrol,Dealer,Manual,0,Bangalore,Chennai,wagon r,50
ertiga,2015,5.8,7.71,25870,Petrol,Dealer,Manual,0,Pune,Lucknow,ertiga,87
ciaz,2017,7.75,9.29,37000,Petrol,Dealer,Automatic,0,Mumbai,Pune,ciaz,95
fortuner,2012,14.9,30.61,104707,Diesel,Dealer,Automatic,0,Bangalore,Bangalore,fortuner,60
fortuner,2015,23.0,30.61,40000,Diesel,Dealer,Automatic,0,Delhi,Jaipur,fortuner,84
innova,2017,18.0,19.77,15000,Diesel,Dealer,Automatic,0,Pune,Ahmedabad,innova,34
fortuner,2013,16.0,30.61,135000,Diesel,Individual,Automatic,0,Kolkata,Jaipur,fortuner,84
innova,2005,2.75,10.21,90000,Petrol,Individual,Manual,0,Mumbai,Chennai,innova,63
corolla altis,2009,3.6,15.04,70000,Petrol,Dealer,Automatic,0,Ahmedabad,Chennai,corolla altis,76
etios cross,2015,4.5,7.27,40534,Petrol,Dealer,Manual,0,Delhi,Jaipur,etios cross,62
corolla altis,2010,4.75,18.54,50000,Petrol,Dealer,Manual,0,Jaipur,Chennai,corolla altis,76
etios g,2014,4.1,6.8,39485,Petrol,Dealer,Manual,1,Delhi,Jaipur,etios g,47
fortuner,2014,19.99,35.96,41000,Diesel,Dealer,Automatic,0,Hyderabad,Mumbai,fortuner,74
corolla altis,2013,6.95,18.61,40001,Petrol,Dealer,Manual,0,Hyderabad,Chennai,corolla altis,76
etios cross,2015,4.5,7.7,40588,Petrol,Dealer,Manual,0,Pune,Pune,etios cross,92
fortuner,2014,18.75,35.96,78000,Diesel,Dealer,Automatic,0,Kolkata,Lucknow,fortuner,30
fortuner,2015,23.5,35.96,47000,Diesel,Dealer,Automatic,0,Pune,Ahmedabad,fortuner,52
fortuner,2017,33.0,36.23,6000,Diesel,Dealer,Automatic,0,Jaipur,Mumbai,fortuner,74
etios liva,2014,4.75,6.95,45000,Diesel,Dealer,Manual,0,Ahmedabad,Ahmedabad,etios liva,66
innova,2017,19.75,23.15,11000,Petrol,Dealer,Automatic,0,Jaipur,Hyderabad,innova,55
fortuner,2010,9.25,20.45,59000,Diesel,Dealer,Manual,0,Jaipur,Hyderabad,fortuner,85
corolla altis,2011,4.35,13.74,88000,Petrol,Dealer,Manual,0,Mumbai,Bangalore,corolla altis,49
corolla altis,2016,14.25,20.91,12000,Petrol,Dealer,Manual,0,Lucknow,Ahmedabad,corolla altis,84
etios liva,2014,3.95,6.76,71000,Diesel,Dealer,Manual,0,Mumbai,Kolkata,etios liva,85
corolla altis,2011,4.5,12.48,45000,Diesel,Dealer,Manual,0,Ahmedabad,Kolkata,corolla altis,64
corolla altis,2013,7.45,18.61,56001,Petrol,Dealer,Manual,0,Chennai,Hyderabad,corolla altis,66
etios liva,2011,2.65,5.71,43000,Petrol,Dealer,Manual,0,Jaipur,Bangalore,etios liva,58
etios cross,2014,4.9,8.93,83000,Diesel,Dealer,Manual,0,Chennai,Mumbai,etios cross,62
etios g,2015,3.95,6.8,36000,Petrol,Dealer,Manual,0,Chennai,Bangalore,etios g,63
corolla altis,2013,5.5,14.68,72000,Petrol,Dealer,Manual,0,Chennai,Lucknow,corolla altis,30
corolla,2004,1.5,12.35,135154,Petrol,Dealer,Automatic,0,Delhi,Ahmedabad,corolla,78
corolla altis,2010,5.25,22.83,80000,Petrol,Dealer,Automatic,0,Jaipur,Chennai,corolla altis,76
fortuner,2012,14.5,30.61,89000,Diesel,Dealer,Automatic,0,Chennai,Mumbai,fortuner,74
corolla altis,2016,14.73,14.89,23000,Diesel,Dealer,Manual,0,Hyderabad,Hyderabad,corolla altis,66
etios gd,2015,4.75,7.85,40000,Diesel,Dealer,Manual,0,Jaipur,Chennai,etios gd,54
innova,2017,23.0,25.39,15000,Diesel,Dealer,Automatic,0,Chennai,Ahmedabad,innova,34
innova,2015,12.5,13.46,38000,Diesel,Dealer,Manual,0,Chennai,Lucknow,innova,47
innova,2005,3.49,13.46,197176,Diesel,Dealer,Manual,0,Bangalore,Delhi,innova,35
camry,2006,2.5,23.73,142000,Petrol,Individual,Automatic,3,Mumbai,Chennai,camry,72
land cruiser,2010,35.0,92.6,78000,Diesel,Dealer,Manual,0,Ahmedabad,Mumbai,land cruiser,78
corolla altis,2012,5.9,13.74,56000,Petrol,Dealer,Manual,0,Lucknow,Lucknow,corolla altis,30
etios liva,2013,3.45,6.05,47000,Petrol,Dealer,Manual,0,Kolkata,Delhi,etios liva,60
etios g,2014,4.75,6.76,40000,Petrol,Dealer,Manual,0,Mumbai,Delhi,etios g,77
corolla altis,2009,3.8,18.61,62000,Petrol,Dealer,Manual,0,Bangalore,Mumbai,corolla altis,70
innova,2014,11.25,16.09,58242,Diesel,Dealer,Manual,0,Hyderabad,Delhi,innova,35
innova,2005,3.51,13.7,75000,Petrol,Dealer,Manual,0,Ahmedabad,Jaipur,innova,66
fortuner,2015,23.0,30.61,40000,Diesel,Dealer,Automatic,0,Pune,Kolkata,fortuner,38
corolla altis,2008,4.0,22.78,89000,Petrol,Dealer,Automatic,0,Bangalore,Chennai,corolla altis,76
corolla altis,2012,5.85,18.61,72000,Petrol,Dealer,Manual,0,Chennai,Delhi,corolla altis,75
innova,2016,20.75,25.39,29000,Diesel,Dealer,Automatic,0,Delhi,Mumbai,innova,58
corolla altis,2017,17.0,18.64,8700,Petrol,Dealer,Manual,0,Pune,Pune,corolla altis,40
corolla altis,2013,7.05,18.61,45000,Petrol,Dealer,Manual,0,Hyderabad,Jaipur,corolla altis,40
fortuner,2010,9.65,20.45,50024,Diesel,Dealer,Manual,0,Hyderabad,Delhi,fortuner,57
Royal Enfield Thunder 500,2016,1.75,1.9,3000,Petrol,Individual,Manual,0,Jaipur,Kolkata,royal enfield,75
UM Renegade Mojave,2017,1.7,1.82,1400,Petrol,Individual,Manual,0,Lucknow,Pune,um renegade,58
KTM RC200,2017,1.65,1.78,4000,Petrol,Individual,Manual,0,Ahmedabad,Delhi,ktm rc200,58
Bajaj Dominar 400,2017,1.45,1.6,1200,Petrol,Individual,Manual,0,Jaipur,Pune,bajaj dominar,72
Royal Enfield Classic 350,2017,1.35,1.47,4100,Petrol,Individual,Manual,0,Jaipur,Hyderabad,royal enfield,33
KTM RC390,2015,1.35,2.37,21700,Petrol,Individual,Manual,0,Delhi,Delhi,ktm rc390,45
Hyosung GT250R,2014,1.35,3.45,16500,Petrol,Individual,Manual,1,Kolkata,Ahmedabad,hyosung gt250r,83
Royal Enfield Thunder 350,2013,1.25,1.5,15000,Petrol,Individual,Manual,0,Chennai,Jaipur,royal enfield,86
Royal Enfield Thunder 350,2016,1.2,1.5,18000,Petrol,Individual,Manual,0,Hyderabad,Bangalore,royal enfield,58
Royal Enfield Classic 350,2017,1.2,1.47,11000,Petrol,Individual,Manual,0,Ahmedabad,Pune,royal enfield,95
KTM RC200,2016,1.2,1.78,6000,Petrol,Individual,Manual,0,Chennai,Delhi,ktm rc200,58
Royal Enfield Thunder 350,2016,1.15,1.5,8700,Petrol,Individual,Manual,0,Jaipur,Ahmedabad,royal enfield,83
KTM 390 Duke ,2014,1.15,2.4,7000,Petrol,Individual,Manual,0,Pune,Kolkata,ktm 390,55
Mahindra Mojo XT300,2016,1.15,1.4,35000,Petrol,Individual,Manual,0,Hyderabad,Ahmedabad,mahindra mojo,41
Royal Enfield Classic 350,2015,1.15,1.47,17000,Petrol,Individual,Manual,0,Bangalore,Kolkata,royal enfield,75
Royal Enfield Classic 350,2015,1.11,1.47,17500,Petrol,Individual,Manual,0,Mumbai,Chennai,royal enfield,42
Royal Enfield Classic 350,2013,1.1,1.47,33000,Petrol,Individual,Manual,0,Hyderabad,Jaipur,royal enfield,86
Royal Enfield Thunder 500,2015,1.1,1.9,14000,Petrol,Individual,Manual,0,Chennai,Hyderabad,royal enfield,33
Royal Enfield Classic 350,2015,1.1,1.47,26000,Petrol,Individual,Manual,0,Lucknow,Hyderabad,royal enfield,33
Royal Enfield Thunder 500,2013,1.05,1.9,5400,Petrol,Individual,Manual,0,Mumbai,Ahmedabad,royal enfield,83
Bajaj Pulsar RS200,2016,1.05,1.26,5700,Petrol,Individual,Manual,0,Chennai,Mumbai,bajaj pulsar,38
Royal Enfield Thunder 350,2011,1.05,1.5,6900,Petrol,Individual,Manual,0,Ahmedabad,Jaipur,royal enfield,86
Royal Enfield Bullet 350,2016,1.05,1.17,6000,Petrol,Individual,Manual,0,Ahmedabad,Ahmedabad,royal enfield,83
Royal Enfield Classic 350,2013,1.0,1.47,46500,Petrol,Individual,Manual,0,Delhi,Ahmedabad,royal enfield,83
Royal Enfield Classic 500,2012,0.95,1.75,11500,Petrol,Individual,Manual,0,Kolkata,Mumbai,royal enfield,40
Royal Enfield Classic 500,2009,0.9,1.75,40000,Petrol,Individual,Manual,0,Ahmedabad,Delhi,royal enfield,84
Bajaj Avenger 220,2017,0.9,0.95,1300,Petrol,Individual,Manual,0,Bangalore,Mumbai,bajaj avenger,46
Bajaj Avenger 150,2016,0.75,0.8,7000,Petrol,Individual,Manual,0,Bangalore,Ahmedabad,bajaj avenger,50
Honda CB Hornet 160R,2017,0.8,0.87,3000,Petrol,Individual,Manual,0,Mumbai,Kolkata,honda cb,53
Yamaha FZ S V 2.0,2017,0.78,0.84,5000,Petrol,Individual,Manual,0,Mumbai,Jaipur,yamaha fz,38
Honda CB Hornet 160R,2017,0.75,0.87,11000,Petrol,Individual,Manual,0,Chennai,Lucknow,honda cb,45
Yamaha FZ 16,2015,0.75,0.82,18000,Petrol,Individual,Manual,0,Bangalore,Jaipur,yamaha fz,38
Bajaj Avenger 220,2017,0.75,0.95,3500,Petrol,Individual,Manual,0,Hyderabad,Mumbai,bajaj avenger,46
Bajaj Avenger 220,2016,0.72,0.95,500,Petrol,Individual,Manual,0,Delhi,Hyderabad,bajaj avenger,65
TVS Apache RTR 160,2017,0.65,0.81,11800,Petrol,Individual,Manual,0,Pune,Ahmedabad,tvs apache,78
Bajaj Pulsar 150,2015,0.65,0.74,5000,Petrol,Individual,Manual,0,Delhi,Pune,bajaj pulsar,90
Honda CBR 150,2014,0.65,1.2,23500,Petrol,Individual,Manual,0,Delhi,Jaipur,honda cbr,44
Hero Extreme,2013,0.65,0.787,16000,Petrol,Individual,Manual,0,Lucknow,Kolkata,hero extreme,44
Honda CB Hornet 160R,2016,0.6,0.87,15000,Petrol,Individual,Manual,0,Pune,Jaipur,honda cb,71
Bajaj Avenger 220 dtsi,2015,0.6,0.95,16600,Petrol,Individual,Manual,0,Ahmedabad,Jaipur,bajaj avenger,87
Honda CBR 150,2013,0.6,1.2,32000,Petrol,Individual,Manual,0,Jaipur,Jaipur,honda cbr,44
Bajaj Avenger 150 street,2016,0.6,0.8,20000,Petrol,Individual,Manual,0,Hyderabad,Mumbai,bajaj avenger,46
Yamaha FZ  v 2.0,2015,0.6,0.84,29000,Petrol,Individual,Manual,0,Jaipur,Bangalore,yamaha fz,42
Yamaha FZ  v 2.0,2016,0.6,0.84,25000,Petrol,Individual,Manual,0,Jaipur,Lucknow,yamaha fz,83
Bajaj Pulsar  NS 200,2014,0.6,0.99,25000,Petrol,Individual,Manual,0,Hyderabad,Lucknow,bajaj pulsar,58
TVS Apache RTR 160,2012,0.6,0.81,19000,Petrol,Individual,Manual,0,Delhi,Bangalore,tvs apache,42
Hero Extreme,2014,0.55,0.787,15000,Petrol,Individual,Manual,0,Ahmedabad,Pune,hero extreme,88
Yamaha FZ S V 2.0,2015,0.55,0.84,58000,Petrol,Individual,Manual,0,Lucknow,Kolkata,yamaha fz,52
Bajaj Pulsar 220 F,2010,0.52,0.94,45000,Petrol,Individual,Manual,0,Ahmedabad,Delhi,bajaj pulsar,66
Bajaj Pulsar 220 F,2016,0.51,0.94,24000,Petrol,Individual,Manual,0,Mumbai,Lucknow,bajaj pulsar,58
TVS Apache RTR 180,2011,0.5,0.826,6000,Petrol,Individual,Manual,0,Kolkata,Hyderabad,tvs apache,41
Hero Passion X pro,2016,0.5,0.55,31000,Petrol,Individual,Manual,0,Lucknow,Lucknow,hero passion,49
Bajaj Pulsar NS 200,2012,0.5,0.99,13000,Petrol,Individual,Manual,0,Lucknow,Lucknow,bajaj pulsar,58
Bajaj Pulsar NS 200,2013,0.5,0.99,45000,Petrol,Individual,Manual,0,Pune,Kolkata,bajaj pulsar,47
Yamaha Fazer ,2014,0.5,0.88,8000,Petrol,Individual,Manual,0,Delhi,Jaipur,yamaha fazer,70
Honda Activa 4G,2017,0.48,0.51,4300,Petrol,Individual,Automatic,0,Lucknow,Mumbai,honda activa,34
TVS Sport ,2017,0.48,0.52,15000,Petrol,Individual,Manual,0,Ahmedabad,Chennai,tvs sport,94
Yamaha FZ S V 2.0,2015,0.48,0.84,23000,Petrol,Individual,Manual,0,Kolkata,Lucknow,yamaha fz,83
Honda Dream Yuga ,2017,0.48,0.54,8600,Petrol,Individual,Manual,0,Mumbai,Lucknow,honda dream,87
Honda Activa 4G,2017,0.45,0.51,4000,Petrol,Individual,Automatic,0,Jaipur,Ahmedabad,honda activa,80
Bajaj Avenger Street 220,2011,0.45,0.95,24000,Petrol,Individual,Manual,0,Mumbai,Ahmedabad,bajaj avenger,50
TVS Apache RTR 180,2014,0.45,0.826,23000,Petrol,Individual,Manual,0,Lucknow,Kolkata,tvs apache,72
Bajaj Pulsar NS 200,2012,0.45,0.99,14500,Petrol,Individual,Manual,0,Chennai,Ahmedabad,bajaj pulsar,89
Bajaj Avenger 220 dtsi,2010,0.45,0.95,27000,Petrol,Individual,Manual,0,Delhi,Delhi,bajaj avenger,57
Hero Splender iSmart,2016,0.45,0.54,14000,Petrol,Individual,Manual,0,Hyderabad,Bangalore,hero splender,50
Activa 3g,2016,0.45,0.54,500,Petrol,Individual,Automatic,0,Mumbai,Mumbai,activa 3g,63
Hero Passion Pro,2016,0.45,0.55,1000,Petrol,Individual,Manual,0,Chennai,Bangalore,hero passion,90
TVS Apache RTR 160,2014,0.42,0.81,42000,Petrol,Individual,Manual,0,Delhi,Delhi,tvs apache,53
Honda CB Trigger,2013,0.42,0.73,12000,Petrol,Individual,Manual,0,Pune,Mumbai,honda cb,94
Hero Splender iSmart,2015,0.4,0.54,14000,Petrol,Individual,Manual,0,Lucknow,Bangalore,hero splender,50
Yamaha FZ S ,2012,0.4,0.83,5500,Petrol,Individual,Manual,0,Jaipur,Delhi,yamaha fz,92
Hero Passion Pro,2015,0.4,0.55,6700,Petrol,Individual,Manual,0,Hyderabad,Jaipur,hero passion,41
Bajaj Pulsar 135 LS,2014,0.4,0.64,13700,Petrol,Individual,Manual,0,Kolkata,Jaipur,bajaj pulsar,38
Activa 4g,2017,0.4,0.51,1300,Petrol,Individual,Automatic,0,Jaipur,Bangalore,activa 4g,56
Honda CB Unicorn,2015,0.38,0.72,38600,Petrol,Individual,Manual,0,Ahmedabad,Jaipur,honda cb,71
Hero Honda CBZ extreme,2011,0.38,0.787,75000,Petrol,Individual,Manual,0,Mumbai,Mumbai,hero honda,51
Honda Karizma,2011,0.35,1.05,30000,Petrol,Individual,Manual,0,Lucknow,Delhi,honda karizma,35
Honda Activa 125,2016,0.35,0.57,24000,Petrol,Individual,Automatic,0,Hyderabad,Ahmedabad,honda activa,80
TVS Jupyter,2014,0.35,0.52,19000,Petrol,Individual,Automatic,0,Pune,Bangalore,tvs jupyter,72
Honda Karizma,2010,0.31,1.05,213000,Petrol,Individual,Manual,0,Jaipur,Ahmedabad,honda karizma,67
Hero Honda Passion Pro,2012,0.3,0.51,60000,Petrol,Individual,Manual,0,Chennai,Mumbai,hero honda,51
Hero Splender Plus,2016,0.3,0.48,50000,Petrol,Individual,Manual,0,Lucknow,Pune,hero splender,65
Honda CB Shine,2013,0.3,0.58,30000,Petrol,Individual,Manual,0,Mumbai,Mumbai,honda cb,94
Bajaj Discover 100,2013,0.27,0.47,21000,Petrol,Individual,Manual,0,Lucknow,Mumbai,bajaj discover,86
Bajaj Pulsar 150,2008,0.25,0.75,26000,Petrol,Individual,Manual,1,Chennai,Pune,bajaj pulsar,90
Suzuki Access 125,2008,0.25,0.58,1900,Petrol,Individual,Automatic,0,Delhi,Ahmedabad,suzuki access,31
TVS Wego,2010,0.25,0.52,22000,Petrol,Individual,Automatic,0,Chennai,Jaipur,tvs wego,82
Honda CB twister,2013,0.25,0.51,32000,Petrol,Individual,Manual,0,Ahmedabad,Mumbai,honda cb,94
Hero Glamour,2013,0.25,0.57,18000,Petrol,Individual,Manual,0,Bangalore,Bangalore,hero glamour,78
Hero Super Splendor,2005,0.2,0.57,55000,Petrol,Individual,Manual,0,Mumbai,Bangalore,hero super,88
Bajaj Pulsar 150,2008,0.2,0.75,60000,Petrol,Individual,Manual,0,Bangalore,Mumbai,bajaj pulsar,38
Bajaj Discover 125,2012,0.2,0.57,25000,Petrol,Individual,Manual,1,Chennai,Kolkata,bajaj discover,91
Hero Hunk,2007,0.2,0.75,49000,Petrol,Individual,Manual,1,Kolkata,Chennai,hero hunk,65
Hero  Ignitor Disc,2013,0.2,0.65,24000,Petrol,Individual,Manual,1,Delhi,Bangalore,hero  ignitor,33
Hero  CBZ Xtreme,2008,0.2,0.787,50000,Petrol,Individual,Manual,0,Lucknow,Chennai,hero  cbz,50
Bajaj  ct 100,2015,0.18,0.32,35000,Petrol,Individual,Manual,0,Pune,Kolkata,bajaj  ct,41
Activa 3g,2008,0.17,0.52,500000,Petrol,Individual,Automatic,0,Pune,Hyderabad,activa 3g,52
Honda CB twister,2010,0.16,0.51,33000,Petrol,Individual,Manual,0,Jaipur,Ahmedabad,honda cb,73
Bajaj Discover 125,2011,0.15,0.57,35000,Petrol,Individual,Manual,1,Jaipur,Hyderabad,bajaj discover,34
Honda CB Shine,2007,0.12,0.58,53000,Petrol,Individual,Manual,0,Hyderabad,Delhi,honda cb,78
Bajaj Pulsar 150,2006,0.1,0.75,92233,Petrol,Individual,Manual,0,Ahmedabad,Chennai,bajaj pulsar,46
i20,2010,3.25,6.79,58000,Diesel,Dealer,Manual,1,Chennai,Lucknow,i20,30
grand i10,2015,4.4,5.7,28200,Petrol,Dealer,Manual,0,Delhi,Kolkata,grand i10,36
i10,2011,2.95,4.6,53460,Petrol,Dealer,Manual,0,Bangalore,Pune,i10,59
eon,2015,2.75,4.43,28282,Petrol,Dealer,Manual,0,Mumbai,Chennai,eon,56
grand i10,2016,5.25,5.7,3493,Petrol,Dealer,Manual,1,Hyderabad,Chennai,grand i10,58
xcent,2017,5.75,7.13,12479,Petrol,Dealer,Manual,0,Kolkata,Bangalore,xcent,58
grand i10,2015,5.15,5.7,34797,Petrol,Dealer,Automatic,0,Chennai,Mumbai,grand i10,30
i20,2017,7.9,8.1,3435,Petrol,Dealer,Manual,0,Mumbai,Bangalore,i20,51
grand i10,2015,4.85,5.7,21125,Diesel,Dealer,Manual,0,Kolkata,Kolkata,grand i10,36
i10,2012,3.1,4.6,35775,Petrol,Dealer,Manual,0,Delhi,Kolkata,i10,60
elantra,2015,11.75,14.79,43535,Diesel,Dealer,Manual,0,Chennai,Bangalore,elantra,84
creta,2016,11.25,13.6,22671,Petrol,Dealer,Manual,0,Chennai,Pune,creta,90
i20,2011,2.9,6.79,31604,Petrol,Dealer,Manual,0,Ahmedabad,Bangalore,i20,51
grand i10,2017,5.25,5.7,20114,Petrol,Dealer,Manual,0,Jaipur,Hyderabad,grand i10,58
verna,2012,4.5,9.4,36100,Petrol,Dealer,Manual,0,Pune,Mumbai,verna,45
eon,2016,2.9,4.43,12500,Petrol,Dealer,Manual,0,Pune,Delhi,eon,53
eon,2016,3.15,4.43,15000,Petrol,Dealer,Manual,0,Mumbai,Ahmedabad,eon,35
verna,2014,6.45,9.4,45078,Petrol,Dealer,Manual,0,Kolkata,Ahmedabad,verna,80
verna,2012,4.5,9.4,36000,Petrol,Dealer,Manual,0,Lucknow,Lucknow,verna,45
eon,2017,3.5,4.43,38488,Petrol,Dealer,Manual,0,Delhi,Chennai,eon,56
i20,2013,4.5,6.79,32000,Petrol,Dealer,Automatic,0,Delhi,Pune,i20,69
i20,2014,6.0,7.6,77632,Diesel,Dealer,Manual,0,Kolkata,Ahmedabad,i20,30
verna,2015,8.25,9.4,61381,Diesel,Dealer,Manual,0,Kolkata,Bangalore,verna,87
verna,2013,5.11,9.4,36198,Petrol,Dealer,Automatic,0,Mumbai,Jaipur,verna,71
i10,2011,2.7,4.6,22517,Petrol,Dealer,Manual,0,Mumbai,Kolkata,i10,60
grand i10,2015,5.25,5.7,24678,Petrol,Dealer,Manual,0,Jaipur,Bangalore,grand i10,72
i10,2011,2.55,4.43,57000,Petrol,Dealer,Manual,0,Delhi,Mumbai,i10,45
verna,2012,4.95,9.4,60000,Diesel,Dealer,Manual,0,Hyderabad,Delhi,verna,80
i20,2012,3.1,6.79,52132,Diesel,Dealer,Manual,0,Ahmedabad,Delhi,i20,87
verna,2013,6.15,9.4,45000,Diesel,Dealer,Manual,0,Ahmedabad,Kolkata,verna,87
verna,2017,9.25,9.4,15001,Petrol,Dealer,Manual,0,Lucknow,Kolkata,verna,87
elantra,2015,11.45,14.79,12900,Petrol,Dealer,Automatic,0,Hyderabad,Ahmedabad,elantra,49
grand i10,2013,3.9,5.7,53000,Diesel,Dealer,Manual,0,Kolkata,Hyderabad,grand i10,58
grand i10,2015,5.5,5.7,4492,Petrol,Dealer,Manual,0,Ahmedabad,Chennai,grand i10,58
verna,2017,9.1,9.4,15141,Petrol,Dealer,Manual,0,Pune,Hyderabad,verna,88
eon,2016,3.1,4.43,11849,Petrol,Dealer,Manual,0,Chennai,Lucknow,eon,84
creta,2015,11.25,13.6,68000,Diesel,Dealer,Manual,0,Bangalore,Mumbai,creta,80
verna,2013,4.8,9.4,60241,Petrol,Dealer,Manual,0,Lucknow,Ahmedabad,verna,80
eon,2012,2.0,4.43,23709,Petrol,Dealer,Manual,0,Delhi,Chennai,eon,56
verna,2012,5.35,9.4,32322,Diesel,Dealer,Manual,0,Ahmedabad,Ahmedabad,verna,80
xcent,2015,4.75,7.13,35866,Petrol,Dealer,Manual,1,Chennai,Bangalore,xcent,58
xcent,2014,4.4,7.13,34000,Petrol,Dealer,Manual,0,Ahmedabad,Mumbai,xcent,44
i20,2016,6.25,7.6,7000,Petrol,Dealer,Manual,0,Bangalore,Kolkata,i20,31
verna,2013,5.95,9.4,49000,Diesel,Dealer,Manual,0,Jaipur,Jaipur,verna,71
verna,2012,5.2,9.4,71000,Diesel,Dealer,Manual,0,Delhi,Chennai,verna,53
i20,2012,3.75,6.79,35000,Petrol,Dealer,Manual,0,Bangalore,Lucknow,i20,30
